ID;NAZEV;KOD;PLATI_OD;PLATI_DO;;
19;Hlavní mìsto Praha;CZ010;2016-11-23;;;
116;Jihomoravský kraj;CZ064;2023-10-10;;;
35;Jihoèeský kraj;CZ031;2023-10-24;;;
51;Karlovarský kraj;CZ041;2023-06-21;;;
108;Kraj Vysoèina;CZ063;2023-10-24;;;
86;Královéhradecký kraj;CZ052;2023-08-10;;;
78;Liberecký kraj;CZ051;2023-08-10;;;
132;Moravskoslezský kraj;CZ080;2024-04-18;;;
124;Olomoucký kraj;CZ071;2024-04-18;;;
94;Pardubický kraj;CZ053;2023-02-14;;;
43;Plzeòský kraj;CZ032;2024-01-15;;;
27;Støedoèeský kraj;CZ020;2024-01-15;;;
141;Zlínský kraj;CZ072;2024-02-13;;;
60;Ústecký kraj;CZ042;2022-07-20;;;
